author,authorLabel,birthDate,deathDate,birthPlaceLabel,deathPlaceLabel,genderLabel,countryLabel
http://www.wikidata.org/entity/Q86587,Johann Gabriel Seidl,1804-06-21T00:00:00Z,1875-07-18T00:00:00Z,Вена,Вена,мужской пол,Австрийская империя
http://www.wikidata.org/entity/Q48173,Бедржих Сметана,1824-03-02T00:00:00Z,1884-05-12T00:00:00Z,Литомишль,Прага,мужской пол,Австро-Венгрия
http://www.wikidata.org/entity/Q48173,Бедржих Сметана,1824-03-02T00:00:00Z,1884-05-12T00:00:00Z,Литомишль,Прага,мужской пол,Австрийская империя
http://www.wikidata.org/entity/Q204018,Джей Коул,1985-01-28T00:00:00Z,,Франкфурт-на-Майне,,мужской пол,США
http://www.wikidata.org/entity/Q352914,Карел Яромир Эрбен,1811-11-07T00:00:00Z,1870-11-21T00:00:00Z,Милетин,Прага,мужской пол,Австро-Венгрия
http://www.wikidata.org/entity/Q352914,Карел Яромир Эрбен,1811-11-07T00:00:00Z,1870-11-21T00:00:00Z,Милетин,Прага,мужской пол,Австрийская империя
http://www.wikidata.org/entity/Q164703,Людвик Куба,1863-04-16T00:00:00Z,1956-11-30T00:00:00Z,Подебрады,Прага,мужской пол,Чехословакия
http://www.wikidata.org/entity/Q164703,Людвик Куба,1863-04-16T00:00:00Z,1956-11-30T00:00:00Z,Подебрады,Прага,мужской пол,Австро-Венгрия
http://www.wikidata.org/entity/Q164703,Людвик Куба,1863-04-16T00:00:00Z,1956-11-30T00:00:00Z,Подебрады,Прага,мужской пол,Австрийская империя
http://www.wikidata.org/entity/Q302596,Джек Клемент,1931-04-05T00:00:00Z,2013-08-08T00:00:00Z,Мемфис,Нашвилл,мужской пол,США
http://www.wikidata.org/entity/Q269879,Сара Фуллер Флауэр Адамс,1805-02-22T00:00:00Z,1848-08-14T00:00:00Z,Old Harlow,Большой Лондон,женский пол,Соединённое королевство Великобритании и Ирландии
http://www.wikidata.org/entity/Q81960,Роберт Бёрнс,1759-01-25T00:00:00Z,1796-07-21T00:00:00Z,Аллоуэй,Дамфрис,мужской пол,Королевство Великобритания
http://www.wikidata.org/entity/Q350426,Адам Вацлав Михна,1600-01-01T00:00:00Z,1676-11-02T00:00:00Z,Йиндржихув-Градец,Йиндржихув-Градец,мужской пол,
http://www.wikidata.org/entity/Q12735,Ян Амос Коменский,1592-03-28T00:00:00Z,1670-11-15T00:00:00Z,Угерски-Брод,Амстердам,мужской пол,Габсбургская монархия
http://www.wikidata.org/entity/Q448799,Магдалена Добромила Реттигова,1785-01-31T00:00:00Z,1845-08-05T00:00:00Z,Вшерадице,Литомишль,женский пол,Австрийская империя
http://www.wikidata.org/entity/Q448799,Магдалена Добромила Реттигова,1785-01-31T00:00:00Z,1845-08-05T00:00:00Z,Вшерадице,Литомишль,женский пол,Габсбургская монархия
http://www.wikidata.org/entity/Q269879,Сара Фуллер Флауэр Адамс,1805-02-22T00:00:00Z,1848-08-14T00:00:00Z,Эссекс,Большой Лондон,женский пол,Соединённое королевство Великобритании и Ирландии
http://www.wikidata.org/entity/Q545818,Франтишек Ладислав Челаковский,1799-03-07T00:00:00Z,1852-08-05T00:00:00Z,Страконице,Прага,мужской пол,Австрийская империя
http://www.wikidata.org/entity/Q350426,Адам Вацлав Михна,1600-01-01T00:00:00Z,1676-10-16T00:00:00Z,Йиндржихув-Градец,Йиндржихув-Градец,мужской пол,
http://www.wikidata.org/entity/Q42775,Джонни Кэш,1932-02-26T00:00:00Z,2003-09-12T00:00:00Z,Кингсленд,Нашвилл,мужской пол,США
http://www.wikidata.org/entity/Q326196,Мерл Килгор,1934-08-09T00:00:00Z,2005-02-06T00:00:00Z,Чикашей,Мексика,мужской пол,США
http://www.wikidata.org/entity/Q184933,Леош Яначек,1854-07-03T00:00:00Z,1928-08-12T00:00:00Z,Гуквальды,Moravská Ostrava,мужской пол,Чехословакия
http://www.wikidata.org/entity/Q184933,Леош Яначек,1854-07-03T00:00:00Z,1928-08-12T00:00:00Z,Гуквальды,Moravská Ostrava,мужской пол,Австрийская империя
http://www.wikidata.org/entity/Q238719,Наоми Шемер,1930-07-13T00:00:00Z,2004-06-26T00:00:00Z,Квуцат-Кинерет,Медицинский центр имени Сураски,женский пол,Израиль
http://www.wikidata.org/entity/Q184933,Леош Яначек,1854-07-03T00:00:00Z,1928-08-12T00:00:00Z,Гуквальды,Острава,мужской пол,Чехословакия
http://www.wikidata.org/entity/Q542956,Анита Картер,1933-05-31T00:00:00Z,1999-07-29T00:00:00Z,Maces Spring,Goodlettsville,женский пол,США
http://www.wikidata.org/entity/Q184933,Леош Яначек,1854-07-03T00:00:00Z,1928-08-12T00:00:00Z,Гуквальды,Острава,мужской пол,Австрийская империя
http://www.wikidata.org/entity/Q233253,Джун Картер,1929-06-23T00:00:00Z,2003-05-15T00:00:00Z,Maces Spring,Нашвилл,женский пол,США
http://www.wikidata.org/entity/Q542956,Анита Картер,1933-03-31T00:00:00Z,1999-07-29T00:00:00Z,Maces Spring,Goodlettsville,женский пол,США
http://www.wikidata.org/entity/Q20741068,Andy Arthurs,,,,,мужской пол,
http://www.wikidata.org/entity/Q861915,Билл Энтони,1930-03-28T00:00:00Z,1961-09-13T00:00:00Z,Нью-Йорк,,мужской пол,США
http://www.wikidata.org/entity/Q5889146,Irene Linders,1955-08-07T00:00:00Z,,,,женский пол,Королевство Нидерландов
http://www.wikidata.org/entity/Q5345269,Edward Seago,1910-03-31T00:00:00Z,1974-01-19T00:00:00Z,Норидж,Лондон,мужской пол,Великобритания
http://www.wikidata.org/entity/Q120915,Фридрих Гофман,1813-04-18T00:00:00Z,1888-08-14T00:00:00Z,Кобург,Ильменау,мужской пол,Саксен-Кобург-Гота
http://www.wikidata.org/entity/Q2134234,Piet Veerman,1943-03-01T00:00:00Z,,Волендам,,мужской пол,Королевство Нидерландов
http://www.wikidata.org/entity/Q247065,Завиш из Запи,1360-01-01T00:00:00Z,1411-01-01T00:00:00Z,Запи,Прага,мужской пол,
http://www.wikidata.org/entity/Q15830041,František Komprda,1852-01-26T00:00:00Z,1903-04-24T00:00:00Z,Lysice,Брно,мужской пол,
http://www.wikidata.org/entity/Q16018926,Werner Theunissen,1942-05-12T00:00:00Z,2010-01-18T00:00:00Z,Херлен,,мужской пол,Королевство Нидерландов
http://www.wikidata.org/entity/Q247065,Завиш из Запи,1360-01-01T00:00:00Z,1422-01-01T00:00:00Z,Запи,Прага,мужской пол,
http://www.wikidata.org/entity/Q20196149,Брюс Смит,,,Килмарнок,,мужской пол,Шотландия
http://www.wikidata.org/entity/Q455762,Вилли Девиль,1950-08-25T00:00:00Z,2009-08-06T00:00:00Z,Стамфорд,Нью-Йорк,мужской пол,США
http://www.wikidata.org/entity/Q105180,Соджорнер Трут,1797-01-01T00:00:00Z,1883-11-26T00:00:00Z,Хёрли,Батл-Крик,женский пол,США
http://www.wikidata.org/entity/Q633,Нил Янг,1945-11-12T00:00:00Z,,Торонто,,мужской пол,США
http://www.wikidata.org/entity/Q247065,Завиш из Запи,1350-01-01T00:00:00Z,1411-01-01T00:00:00Z,Запи,Прага,мужской пол,
http://www.wikidata.org/entity/Q961607,Václav Karel Holan Rovenský,1644-01-01T00:00:00Z,1718-02-27T00:00:00Z,Ровенско-под-Тросками,Вальдштейн,мужской пол,
http://www.wikidata.org/entity/Q937502,Херардо Родригес,1897-03-28T00:00:00Z,1948-04-25T00:00:00Z,Монтевидео,Монтевидео,мужской пол,Уругвай
http://www.wikidata.org/entity/Q5668484,Emilio José,1950-06-16T00:00:00Z,,Фернан Нуньес,,мужской пол,Испания
http://www.wikidata.org/entity/Q247065,Завиш из Запи,1350-01-01T00:00:00Z,1422-01-01T00:00:00Z,Запи,Прага,мужской пол,
http://www.wikidata.org/entity/Q20741073,Günter Lammers,,,,,мужской пол,Германия
http://www.wikidata.org/entity/Q633,Нил Янг,1945-11-12T00:00:00Z,,Торонто,,мужской пол,Канада
http://www.wikidata.org/entity/Q5952944,Хуан Сайсар,1933-11-09T00:00:00Z,1991-02-06T00:00:00Z,Халиско,,мужской пол,Мексика
http://www.wikidata.org/entity/Q1323453,Миюки Накадзима,1952-02-23T00:00:00Z,,Саппоро,,женский пол,Япония
http://www.wikidata.org/entity/Q20680156,Joe Rock,1936-05-16T00:00:00Z,2000-04-04T00:00:00Z,Питтсбург,Мемфис,мужской пол,США
http://www.wikidata.org/entity/Q5734832,Герберт Крецмер,1925-10-05T00:00:00Z,2020-10-14T00:00:00Z,Крунстад,Лондон,мужской пол,Великобритания
http://www.wikidata.org/entity/Q314358,Джефф Линн,1947-12-30T00:00:00Z,,Shard End,,мужской пол,Великобритания
http://www.wikidata.org/entity/Q937502,Херардо Родригес,1897-03-18T00:00:00Z,1948-04-25T00:00:00Z,Монтевидео,Монтевидео,мужской пол,Уругвай
http://www.wikidata.org/entity/Q1933271,Mike Leander,1941-06-30T00:00:00Z,1996-04-18T00:00:00Z,Уолтемстоу,Лондон,мужской пол,Великобритания
http://www.wikidata.org/entity/Q943914,Ховард Гудолл,1958-05-26T00:00:00Z,,Бромли,,мужской пол,Великобритания
http://www.wikidata.org/entity/Q5734832,Герберт Крецмер,1925-10-05T00:00:00Z,2020-10-14T00:00:00Z,Крунстад,Лондон,мужской пол,ЮАР
http://www.wikidata.org/entity/Q4143186,"Гончаренко, Георгий Иванович",1877-06-22T00:00:00Z,1940-12-12T00:00:00Z,Варшава,Рига,мужской пол,Российская империя
http://www.wikidata.org/entity/Q450453,Michael Holm,1943-07-29T00:00:00Z,,Щецин,,мужской пол,Германия
http://www.wikidata.org/entity/Q311655,Том Петти,1950-10-20T00:00:00Z,2017-10-02T00:00:00Z,Гейнсвилл,UCLA Santa Monica Medical Center,мужской пол,США
http://www.wikidata.org/entity/Q710593,Отто Линдблад,1809-03-31T00:00:00Z,1864-01-26T00:00:00Z,Карлсторп,Norra Mellby church parish,мужской пол,Швеция
http://www.wikidata.org/entity/Q12028567,Карел Тума,1843-09-06T00:00:00Z,1917-05-09T00:00:00Z,Прага,Прага,мужской пол,Австро-Венгрия
http://www.wikidata.org/entity/Q5952944,Хуан Сайсар,1933-11-09T00:00:00Z,1991-02-06T00:00:00Z,Тамасула-де-Гордьяно,,мужской пол,Мексика
http://www.wikidata.org/entity/Q5624641,Ellert Driessen,1958-08-21T00:00:00Z,,Амстердам,,мужской пол,Королевство Нидерландов
http://www.wikidata.org/entity/Q954019,Себастьян Ирадьер,1809-01-20T00:00:00Z,1865-12-06T00:00:00Z,Лансьего,Витория-Гастейс,мужской пол,Испания
http://www.wikidata.org/entity/Q20680150,Zelma Redding,1942-04-07T00:00:00Z,,Мейкон,,женский пол,США
http://www.wikidata.org/entity/Q937502,Херардо Родригес,1900-01-01T00:00:00Z,1948-04-25T00:00:00Z,Монтевидео,Монтевидео,мужской пол,Уругвай
http://www.wikidata.org/entity/Q20196273,Rainer Pietsch,1944-04-12T00:00:00Z,1997-08-21T00:00:00Z,Walburg,Мюнхен,мужской пол,Германия
http://www.wikidata.org/entity/Q188426,Рой Орбисон,1936-04-23T00:00:00Z,1988-12-06T00:00:00Z,Вернон,Нашвилл,мужской пол,США
http://www.wikidata.org/entity/Q961607,Václav Karel Holan Rovenský,1644-01-01T00:00:00Z,1718-02-27T00:00:00Z,Ровенско-под-Тросками,Ровенско-под-Тросками,мужской пол,
http://www.wikidata.org/entity/Q20196194,Hal Shaper,1931-07-18T00:00:00Z,2004-01-08T00:00:00Z,Мёйзенберг,Кейптаун,мужской пол,ЮАР
http://www.wikidata.org/entity/Q61400,Dieter Dierks,1943-02-09T00:00:00Z,,Stommeln,,мужской пол,Германия
