work,workLabel,authorLabel,genreLabel,countryLabel,durationLabel
http://www.wikidata.org/entity/Q19154879,Den Nith wohl hinab,Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q19525966,Q19525966,Карел Тума,,Австро-Венгрия,
http://www.wikidata.org/entity/Q20196025,Cry of freedom,Брюс Смит,Palingsound,Шотландия,
http://www.wikidata.org/entity/Q20740312,Wet Day in September,Werner Theunissen,кантри-рок,Королевство Нидерландов,
http://www.wikidata.org/entity/Q20736277,Smile,Werner Theunissen,кантри-рок,Королевство Нидерландов,
http://www.wikidata.org/entity/Q20667987,A Boy From Nowhere,Edward Seago,middle of the road,Великобритания,
http://www.wikidata.org/entity/Q20740262,If You Ever Come to Amsterdam,Werner Theunissen,поп-музыка,Королевство Нидерландов,
http://www.wikidata.org/entity/Q19173368,Die Birken von Aberfeldy,Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q17136800,Spanish Stroll,Вилли Девиль,блюз-рок,США,
http://www.wikidata.org/entity/Q19176111,Die Hauptmedicin,Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q20738858,I'll Be Your Woman,Werner Theunissen,кантри,Королевство Нидерландов,
http://www.wikidata.org/entity/Q19177724,Die Logan-Höhen,Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q19526947,Q19526947,Карел Гашлер,,Чехословакия,
http://www.wikidata.org/entity/Q20741059,Teenage Queenie,Werner Theunissen,кантри-рок,Королевство Нидерландов,
http://www.wikidata.org/entity/Q20196766,Recuerda,Хуан Сайсар,музыка техано,Мексика,
http://www.wikidata.org/entity/Q20740943,Daddy,Werner Theunissen,кантри,Королевство Нидерландов,
http://www.wikidata.org/entity/Q20483914,Demasiado Corazon,Вилли Девиль,блюз-рок,США,
http://www.wikidata.org/entity/Q19179564,Die Schlacht von Sheriff-Muir,Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q20196706,(La comparsita) La paloma,Себастьян Ирадьер,Palingsound,Испания,
http://www.wikidata.org/entity/Q20667987,A Boy From Nowhere,Edward Seago,Palingsound,Великобритания,
http://www.wikidata.org/entity/Q20741055,Then the music stopped,Werner Theunissen,поп-рок,Королевство Нидерландов,
http://www.wikidata.org/entity/Q19183565,Die junge Peggy,Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q19184196,Die schöne Peggy Alison,Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q19526947,Q19526947,Карел Гашлер,,Австро-Венгрия,
http://www.wikidata.org/entity/Q20740982,Let Freedom Range,Werner Theunissen,поп-музыка,Королевство Нидерландов,
http://www.wikidata.org/entity/Q20740373,Hey Joe,Werner Theunissen,кантри-рок,Королевство Нидерландов,
http://www.wikidata.org/entity/Q18415622,Sláva šľachetným,Карол Кузманый,,Австрийская империя,
http://www.wikidata.org/entity/Q20741058,Une Chambre Pour La Nuit,Werner Theunissen,поп-музыка,Королевство Нидерландов,
http://www.wikidata.org/entity/Q17136800,Spanish Stroll,Вилли Девиль,Palingsound,США,
http://www.wikidata.org/entity/Q19539047,Q19539047,Отто Линдблад,,Швеция,
http://www.wikidata.org/entity/Q20679648,I've Got Dreams to Remember,Zelma Redding,соул,США,
http://www.wikidata.org/entity/Q20679648,I've Got Dreams to Remember,Отис Реддинг,соул,США,
http://www.wikidata.org/entity/Q20679648,I've Got Dreams to Remember,Zelma Redding,фанк,США,
http://www.wikidata.org/entity/Q20679648,I've Got Dreams to Remember,Отис Реддинг,фанк,США,
http://www.wikidata.org/entity/Q17230742,Rouge,Миюки Накадзима,каёкёку,Япония,
http://www.wikidata.org/entity/Q20667987,A Boy From Nowhere,Mike Leander,middle of the road,Великобритания,
http://www.wikidata.org/entity/Q19195363,Es lebe die Maid mit Vermögen,Роберт Бёрнс,,Королевство Великобритания,
