work,workLabel,authorLabel,genreLabel,countryLabel,durationLabel,publicationDate,performerLabel,partOfLabel
http://www.wikidata.org/entity/Q2600426,Arms of Mary,Iain Sutherland,поп-музыка,,,1992-01-01T00:00:00Z,Piet Veerman,
http://www.wikidata.org/entity/Q2600426,Arms of Mary,Iain Sutherland,поп-музыка,,,1992-01-01T00:00:00Z,The Sutherland Brothers,
http://www.wikidata.org/entity/Q11794549,"О, мой розмарин",Wacław Denhoff-Czarnocki,,Польша,,1915-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q5691988,Heart Half Empty,Дезмонд Чайлд,кантри,США,,2003-01-01T00:00:00Z,Ty Herndon,
http://www.wikidata.org/entity/Q5691988,Heart Half Empty,Дезмонд Чайлд,кантри,Венгрия,,2003-01-01T00:00:00Z,Стефани Бентли,
http://www.wikidata.org/entity/Q2061180,Lollipop,Тедди Пак,дэнс-поп,Республика Корея,,2009-03-27T00:00:00Z,2NE1,
http://www.wikidata.org/entity/Q12264871,Nire aitaren etxea defendituko dut,Габриель Арести,,Испания,,1964-01-01T00:00:00Z,Eñaut Elorrieta,Deserriko kantak (album)
http://www.wikidata.org/entity/Q5691988,Heart Half Empty,Gary Burr,кантри,США,,1995-01-01T00:00:00Z,Стефани Бентли,
http://www.wikidata.org/entity/Q3430734,You Needed Me,Randy Goodrum,европоп,США,,1999-01-01T00:00:00Z,Boyzone,
http://www.wikidata.org/entity/Q3430734,You Needed Me,Randy Goodrum,европоп,США,,1999-01-01T00:00:00Z,Энн Мюррей,
http://www.wikidata.org/entity/Q4959377,Breakaway,Jackie DeShannon,ритм-н-блюз,США,,1964-01-01T00:00:00Z,Трейси Ульман,
http://www.wikidata.org/entity/Q2299769,Stars,Ноэл Хоган,рок-музыка,Ирландия,,2002-01-01T00:00:00Z,The Cranberries,
http://www.wikidata.org/entity/Q5691988,Heart Half Empty,Дезмонд Чайлд,кантри,Венгрия,,1995-01-01T00:00:00Z,Ty Herndon,
http://www.wikidata.org/entity/Q3430734,You Needed Me,Randy Goodrum,кантри,США,,1978-01-01T00:00:00Z,Boyzone,
http://www.wikidata.org/entity/Q3430734,You Needed Me,Randy Goodrum,кантри,США,,1978-01-01T00:00:00Z,Энн Мюррей,
http://www.wikidata.org/entity/Q15696579,Q15696579,Аннамачарья,,,,,,
http://www.wikidata.org/entity/Q15703039,Q15703039,Аннамачарья,,,,,,
http://www.wikidata.org/entity/Q7715876,The Battle of New Orleans,Jimmy Driftwood,кантри,США,,1959-04-01T00:00:00Z,Джонни Хортон,
http://www.wikidata.org/entity/Q2299769,Stars,Долорес О’Риордан,рок-музыка,Ирландия,,2002-01-01T00:00:00Z,The Cranberries,
http://www.wikidata.org/entity/Q3068258,Femme libérée,Joëlle Kopf,поп-музыка,Франция,,1984-07-01T00:00:00Z,Cookie Dingler,
http://www.wikidata.org/entity/Q7968538,War Song,Нил Янг,фолк-рок,Канада,,1972-06-05T00:00:00Z,The Stray Gators,
http://www.wikidata.org/entity/Q7968538,War Song,Нил Янг,фолк-рок,Канада,,1972-06-05T00:00:00Z,Грэм Нэш,
http://www.wikidata.org/entity/Q2600426,Arms of Mary,Iain Sutherland,поп-музыка,,,1975-01-01T00:00:00Z,Piet Veerman,
http://www.wikidata.org/entity/Q4959377,Breakaway,Jackie DeShannon,ритм-н-блюз,США,,1964-01-01T00:00:00Z,Ирма Томас,
http://www.wikidata.org/entity/Q2600426,Arms of Mary,Iain Sutherland,поп-музыка,,,1975-01-01T00:00:00Z,The Sutherland Brothers,
http://www.wikidata.org/entity/Q3028868,Knockdown,Алиша Диксон,регги,Великобритания,,2006-10-30T00:00:00Z,Алиша Диксон,
http://www.wikidata.org/entity/Q5691988,Heart Half Empty,Дезмонд Чайлд,кантри,США,,1995-01-01T00:00:00Z,Toni Willé,
http://www.wikidata.org/entity/Q495433,Fire (песня 2NE1),Тедди Пак,K-pop,Республика Корея,224,2009-05-06T00:00:00Z,2NE1,
http://www.wikidata.org/entity/Q7190433,Pibare Rama Rasam,Sadasiva Brahmendra,,,,,,
http://www.wikidata.org/entity/Q2633281,J’en ai marre!,Милен Фармер,дэнс-поп,Канада,4.583333,2003-02-24T00:00:00Z,Ализе,
http://www.wikidata.org/entity/Q2633281,J’en ai marre!,Милен Фармер,дэнс-поп,Канада,5.0833333,2003-02-24T00:00:00Z,Ализе,
http://www.wikidata.org/entity/Q7968538,War Song,Нил Янг,фолк-рок,США,,1972-06-05T00:00:00Z,Нил Янг,
http://www.wikidata.org/entity/Q5691988,Heart Half Empty,Дезмонд Чайлд,кантри,США,,2003-01-01T00:00:00Z,Стефани Бентли,
http://www.wikidata.org/entity/Q4317900,Нет,Константин Меладзе,поп-музыка,Грузия,236,2012-08-13T00:00:00Z,Полина Гагарина,
